Day,Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,1,2.55986E-05,3.77059E-05,2.97548E-05,3.07364E-05,2.34779E-05,2.64652E-05,3.99195E-05,0.000136522,4.0041E-05,3.28674E-05,4.02663E-05,0.000120354
1,2,2.35507E-05,3.39176E-05,2.73663E-05,2.91982E-05,2.33115E-05,2.63239E-05,3.68902E-05,4.2414E-05,3.6657E-05,3.03484E-05,4.02738E-05,0.000114366
1,3,2.18136E-05,3.22309E-05,2.57621E-05,3.27241E-05,2.29168E-05,2.59294E-05,3.6498E-05,3.12705E-05,3.33962E-05,2.92154E-05,3.97531E-05,0.0001136
1,4,1.92764E-05,3.16636E-05,2.57816E-05,2.86292E-05,2.23259E-05,2.45137E-05,3.27723E-05,2.90211E-05,3.29923E-05,2.72952E-05,3.93582E-05,0.00011275
1,5,1.93233E-05,3.18253E-05,2.57404E-05,2.64738E-05,2.16515E-05,2.4355E-05,3.28934E-05,2.88968E-05,3.52225E-05,2.67882E-05,3.90869E-05,0.000112802
1,6,1.92938E-05,3.39762E-05,2.57143E-05,2.6372E-05,2.17637E-05,2.43127E-05,3.22897E-05,2.8997E-05,3.62652E-05,2.61406E-05,3.953E-05,0.000113266
1,7,1.93175E-05,4.3637E-05,2.73978E-05,2.49024E-05,2.16278E-05,2.36657E-05,3.57951E-05,2.73583E-05,3.0886E-05,2.56021E-05,3.97921E-05,0.000114972
1,8,1.9181E-05,4.40437E-05,2.73386E-05,2.31921E-05,1.94208E-05,2.35811E-05,2.69558E-05,2.80787E-05,2.94492E-05,2.46655E-05,3.96795E-05,0.000127018
1,9,1.7573E-05,3.74771E-05,2.68814E-05,2.16788E-05,2.04053E-05,2.27701E-05,2.57113E-05,2.76222E-05,2.92079E-05,2.19605E-05,3.92438E-05,0.000112589
1,10,8.45017E-06,3.02239E-05,2.8642E-05,2.32834E-05,1.89145E-05,2.28785E-05,2.47332E-05,2.84786E-05,2.83601E-05,2.18576E-05,3.96283E-05,0.000115259
1,11,8.83151E-06,2.95626E-05,2.85367E-05,2.32851E-05,2.17152E-05,2.29804E-05,2.51656E-05,2.88261E-05,2.7013E-05,2.16755E-05,3.9818E-05,0.000115032
1,12,9.3477E-06,3.22771E-05,2.68868E-05,2.38114E-05,2.12382E-05,2.38447E-05,2.53392E-05,3.03511E-05,2.66218E-05,2.36587E-05,3.95369E-05,0.000118077
1,13,8.67297E-06,3.18785E-05,2.78931E-05,2.39033E-05,2.22661E-05,2.38713E-05,2.54999E-05,3.15904E-05,2.71507E-05,2.4821E-05,4.01037E-05,0.000129549
1,14,1.8825E-05,3.13902E-05,2.90765E-05,2.39686E-05,2.27978E-05,2.44401E-05,2.63622E-05,3.85548E-05,2.74042E-05,2.52998E-05,4.01882E-05,0.000135657
1,15,1.92637E-05,3.13214E-05,3.40826E-05,2.34871E-05,2.29168E-05,2.51694E-05,2.79681E-05,4.39307E-05,3.00029E-05,2.57609E-05,4.04296E-05,0.00013142
1,16,1.92911E-05,3.70022E-05,4.41171E-05,2.33598E-05,2.30347E-05,2.56994E-05,3.08173E-05,5.1675E-05,3.35403E-05,2.62574E-05,4.03658E-05,0.000134367
1,17,2.08376E-05,3.71128E-05,5.11256E-05,2.40605E-05,2.31096E-05,2.53774E-05,3.17588E-05,4.71703E-05,3.79126E-05,2.67644E-05,4.00916E-05,0.000132417
1,18,2.16661E-05,4.07217E-05,4.94067E-05,2.56236E-05,2.30448E-05,2.57892E-05,3.47934E-05,5.61592E-05,4.1281E-05,2.94379E-05,3.99766E-05,0.000144163
1,19,2.48485E-05,4.78298E-05,7.44416E-05,2.71718E-05,2.39617E-05,2.72403E-05,3.47036E-05,6.18125E-05,8.18364E-05,3.75678E-05,4.93526E-05,0.000223604
1,20,2.51488E-05,5.28138E-05,0.00011531,4.71701E-05,3.5212E-05,3.05971E-05,4.2585E-05,0.000313717,0.000128642,4.42459E-05,4.46072E-05,0.000285091
1,21,2.57524E-05,4.96111E-05,0.00010886,3.43984E-05,7.96066E-05,2.95353E-05,6.72521E-05,0.000336239,6.67826E-05,0.00014772,4.13929E-05,0.000143528
1,22,2.53121E-05,4.31718E-05,0.000105587,2.78034E-05,8.07975E-05,2.84168E-05,9.06452E-05,3.83133E-05,4.35523E-05,4.75155E-05,4.16585E-05,0.000121838
1,23,2.46731E-05,3.37388E-05,6.93682E-05,2.64998E-05,7.90585E-05,2.89242E-05,8.5232E-05,3.87156E-05,3.87818E-05,4.37694E-05,4.1643E-05,0.000139932
1,24,2.39758E-05,3.03582E-05,4.92253E-05,2.60997E-05,5.9486E-05,2.80866E-05,3.92214E-05,3.90926E-05,3.44476E-05,3.43713E-05,4.12073E-05,0.000119502
2,1,2.24809E-05,2.80811E-05,3.39306E-05,2.94041E-05,3.03232E-05,2.92098E-05,3.7303E-05,4.51105E-05,3.3884E-05,2.73927E-05,4.12814E-05,7.4744E-05
2,2,2.15713E-05,2.71507E-05,2.98808E-05,2.62923E-05,2.50212E-05,2.80982E-05,3.29099E-05,5.81777E-05,3.07807E-05,2.64129E-05,4.11509E-05,7.35041E-05
2,3,2.1723E-05,2.65291E-05,2.7557E-05,2.53458E-05,2.40581E-05,2.81352E-05,3.25201E-05,4.44626E-05,2.98363E-05,2.61439E-05,4.06296E-05,7.1816E-05
2,4,2.10714E-05,2.61268E-05,2.71578E-05,2.37611E-05,2.38799E-05,2.79945E-05,3.11658E-05,4.01145E-05,2.93554E-05,2.61074E-05,4.08308E-05,7.18067E-05
2,5,2.05579E-05,2.60564E-05,2.69112E-05,2.41707E-05,2.37282E-05,2.83751E-05,3.12609E-05,4.36822E-05,2.97304E-05,2.58351E-05,4.07566E-05,7.23824E-05
2,6,1.84199E-05,2.73639E-05,2.73473E-05,2.48421E-05,2.3294E-05,2.79076E-05,3.0196E-05,4.77216E-05,2.81148E-05,2.63903E-05,4.07819E-05,7.24924E-05
2,7,2.28249E-05,2.93472E-05,2.97412E-05,2.24869E-05,2.3616E-05,2.66072E-05,3.03566E-05,4.37682E-05,2.76142E-05,2.71059E-05,4.07515E-05,7.25052E-05
2,8,2.54385E-05,3.38564E-05,2.98238E-05,2.12227E-05,2.36707E-05,2.4015E-05,2.7394E-05,3.01108E-05,2.62926E-05,2.84321E-05,4.0091E-05,7.21944E-05
2,9,2.4237E-05,3.06875E-05,3.035E-05,1.91692E-05,2.2274E-05,2.3891E-05,2.66156E-05,2.6774E-05,2.61508E-05,2.70517E-05,3.80143E-05,7.53371E-05
2,10,2.80057E-05,2.75928E-05,2.72632E-05,1.74643E-05,2.28463E-05,2.50026E-05,2.70656E-05,2.64018E-05,2.5781E-05,3.021E-05,3.89242E-05,7.23021E-05
